"title","url","image","type","priority","home","home_image","lat","lon"
"Freiwilligenpolitik Mitgestalten","https://freiwilligenpolitik.mitgestalten.jetzt/","/uploads/image.png","org","50","","","",""
"Freiwilligenpolitik mitgestalten","https://freiwilligenpolitik.mitgestalten.jetzt/","/uploads/logo_bunderministerium_soziales_at.png","region","50","","","",""
"FundAction","https://assembly.fundaction.eu","/uploads/logo_fundaction.png","org","2","","","",""
"Fàbrica de Creació Fabra i Coats","https://fic.decidim.barcelona","/uploads/logo_fic.jpg","org","2","","","",""
"Fòrum de la Joventut d'Andorra","https://forumandorra.com/","/uploads/logo_forumjoventutandorra.png","org","50","","","",""
"Fòrum Social Mundial d'Economies Transformadores","https://web.archive.org/web/20220930155131/https://forum.transformadora.org/","/uploads/logo_fsmet.png","org","2","","","",""
"Gavà","https://web.archive.org/web/20240903120454/https://participa.gavaciutat.cat/","/uploads/logo_aj_gava.jpg","city","2","","","",""
"Gdynia","https://konsultujemy.gdynia.pl/","/uploads/logo_aj_gdynia.jpg","city","51","false","","",""
"Gemeinde Köniz","https://web.archive.org/web/20240818062824/https://impulskoeniz.ch/","/uploads/logo_aj_koniz.jpg","city","50","","","",""
"Generalitat de Catalunya","http://participa.gencat.cat/","/uploads/logo_gencat.png","region","95","true","/uploads/logo_gencat_red.png","",""
"Getxo","https://zeugaz.getxo.eus/","/uploads/logo_aj_getxo.jpeg","city","50","false","","",""
"Gijón","https://participa.gijon.es/","/uploads/logo_aj_gijon.png","city","85","","","",""
"Girona","https://girona-decidim.ddgi.cat/","/uploads/logo_aj_girona.png","city","50","","","",""
"Gobierno de Cochabamba","https://decidim.gobernaciondecochabamba.bo/","/uploads/logo_cochabamba.jpeg","region","50","","","",""
"Gobierno de Mendoza","https://participa.irrigacion.gov.ar/","/uploads/logo_mendoza.png","region","50","","","",""
"Goteborgs Stad","https://medborgarbudget.socialhisingen.goteborg.se/","/uploads/logo_aj_goteborgs.png","city","50","","","",""
"Goteo","https://participa.goteo.org/","/uploads/logo_goteo.png","org","50","","","",""
"Granollers","https://participa311-granollers.diba.cat/","/uploads/logo_aj_granollers.png","city","50","","","",""
"Granville","https://participons-granville.fr/","/uploads/logo_aj_granville.png","city","50","","","",""
"Graz Gemeinsam Gestalten","https://www.graz-gemeinsam-gestalten.at/","/uploads/logo-mib-sw.png","org","50","","","",""
"Graz Gemeinsam Gestalten","https://www.graz-gemeinsam-gestalten.at/","/uploads/logo_graz.png","org","50","","","",""
"Green Party of Canada","https://wedecide.green.ca/","/uploads/logo_green_party_canada.png","org","2","false","","",""
"Greenpeace","https://web.archive.org/web/20210311050650/https://concertation.greenpeace.fr/","/uploads/logo_greenpeace.png","org","50","","","",""
